E_Curvature, E_Area, E_Regularization, E_Total ((pN.nm)), Mean Force (pN)
6.32263, 7.01806, 1.29562e-09, 13.5616, 0.00648847
9.0776, 7.01805, 1.1246e-09, 16.3165, 0.00332522
7.61496, 7.01804, 1.50098e-09, 14.8539, 0.00561713
8.99894, 7.01803, 1.391e-09, 16.2378, 0.0101092
10.1434, 7.01803, 1.72792e-09, 17.3822, 0.00283373
12.6188, 7.01802, 1.84648e-09, 19.8576, 0.00594752
9.75688, 7.01802, 2.96976e-09, 16.9957, 0.00806545
12.747, 7.01801, 2.14806e-09, 19.9858, 0.00146091
8.5897, 7.01801, 2.22209e-09, 15.8285, 0.00334815
9.35316, 7.018, 2.68374e-09, 16.5919, 0.00189652
9.33126, 7.018, 2.40464e-09, 16.57, 0.0011992
8.70924, 7.018, 3.82161e-09, 15.948, 0.0019648
11.7517, 7.01799, 4.50559e-13, 18.9904, 0.00498712
7.47799, 7.01799, 5.11022e-13, 14.7167, 0.00379763
8.5097, 7.01799, 3.00521e-12, 15.7484, 0.00243137
9.38958, 7.01799, 7.06826e-12, 16.6283, 0.0045991
7.04297, 7.01799, 1.70245e-11, 14.2817, 0.00458855
10.5786, 7.01799, 9.99495e-12, 17.8173, 0.00428988
7.43245, 7.01798, 1.88178e-13, 14.6711, 0.00366746
8.07107, 7.01798, 2.69223e-13, 15.3097, 0.000966068
9.23154, 7.01798, 2.20045e-13, 16.4702, 0.0030226
9.07201, 7.01798, 4.62567e-13, 16.3107, 0.00408458
9.20065, 7.01798, 1.47031e-12, 16.4393, 0.00373431
6.29195, 7.01798, 7.76708e-13, 13.5306, 0.00494771
6.38086, 7.01798, 5.42699e-14, 13.6195, 0.00704815
7.82441, 7.01798, 8.67431e-14, 15.0631, 0.00398113
9.54278, 7.01798, 2.91822e-13, 16.7814, 0.0018666
6.2029, 7.01798, 8.56967e-13, 13.4416, 0.00334126
6.64665, 7.01798, 5.62422e-13, 13.8853, 0.00171203
7.87615, 7.01798, 1.37218e-12, 15.1148, 0.00129945
10.8795, 7.01798, 5.6976e-13, 18.1182, 0.00635851
12.0928, 7.01798, 1.21907e-14, 19.3315, 0.00130964
12.7367, 7.01798, 1.99675e-14, 19.9754, 0.0021355
10.7399, 7.01798, 3.4053e-14, 17.9786, 0.00335696
9.73745, 7.01798, 1.97572e-15, 16.9761, 0.00459861
8.56577, 7.01798, 1.30904e-14, 15.8044, 0.00290098
9.54557, 7.01798, 3.08824e-14, 16.7842, 0.00434476
6.80855, 7.01798, 5.0999e-14, 14.0472, 0.0098624
8.90761, 7.01798, 4.63258e-14, 16.1463, 0.00440565
9.85169, 7.01798, 4.45217e-14, 17.0903, 0.00275354
